Anno,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli- Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige,Umbria,Valle d'Aosta,Veneto,Totale
2006,118,40,67,333,547,133,538,186,1063,181,16,407,264,120,303,425,162,82,21,476,5482
2007,265,56,104,514,815,230,742,218,1460,241,19,587,355,204,394,632,226,132,36,685,7915
2008,274,55,109,487,867,277,747,212,1610,255,23,627,416,178,417,623,219,136,81,746,8359
2009,174,57,99,434,836,268,788,203,1427,243,21,541,345,160,375,614,235,126,34,683,7663
2010,175,55,99,433,811,266,726,202,1393,242,21,539,346,160,374,613,232,125,34,681,7527
2011,179,45,86,403,774,231,653,199,1389,299,21,573,369,197,380,586,240,123,55,663,7465
2012,126,35,75,351,547,102,552,160,962,214,16,366,281,129,321,389,132,88,18,424,5288
2013,124,34,74,337,525,108,557,163,965,218,18,377,287,140,318,382,132,89,19,439,5306
2014,117,29,70,325,516,108,554,150,919,197,15,360,289,107,315,385,112,89,23,414,5094
2015,127,35,73,317,518,118,560,151,863,194,14,359,271,94,343,371,128,90,24,403,5053
2016,124,34,77,325,528,120,544,158,894,203,16,368,280,97,308,383,127,78,17,423,5104
2017,135,43,81,335,533,121,573,157,976,201,16,363,303,108,310,389,137,84,20,430,5315
2018,130,36,81,332,515,118,549,157,937,204,13,355,310,116,309,382,139,89,19,414,5205
2019,126,36,78,332,541,168,560,151,996,195,14,356,301,115,328,372,142,88,24,462,5385
2020,127,37,72,317,515,174,528,149,985,205,13,386,318,111,316,384,115,93,23,457,5325
2021,117,37,68,258,510,160,449,139,885,166,13,344,318,96,299,360,103,90,15,404,4831
